rowCol,hw_len,rd_len,num_intersection
230,'(7, 3)',0.0,2945.21251957,0.0
231,'(7, 4)',0.0,2349.92104167,1.0
232,'(7, 5)',0.0,7690.57126187,3.0
233,'(7, 6)',0.0,12261.3120384,10.0
234,'(7, 7)',0.0,14511.733529700003,14.0
235,'(7, 8)',0.0,22942.8111962,30.0
236,'(7, 9)',0.0,14385.5030873,23.0
237,'(7, 10)',0.0,15904.048212900001,16.0
238,'(7, 11)',873.02565908,31002.9855897,65.0
239,'(7, 12)',2384.5125461,29805.360523299998,44.0
240,'(7, 13)',2043.71602232,7095.1872573,7.0
241,'(7, 14)',0.0,2377.94059964,3.0
242,'(7, 15)',0.0,6386.45570908,1.0
243,'(7, 16)',0.0,5208.77949469,1.0
244,'(7, 17)',0.0,10647.062061499999,15.0
245,'(7, 18)',0.0,3173.31856734,4.0
246,'(7, 19)',0.0,3010.00041595,4.0
247,'(7, 20)',0.0,21061.793335,61.0
248,'(7, 21)',1277.67201473,16872.8448026,30.0
249,'(7, 22)',3354.44744988,13081.8378877,12.0
250,'(7, 23)',2275.12273358,27714.760958999996,48.0
251,'(7, 24)',2113.37042909,7562.64076394,1.0
252,'(7, 25)',0.0,2773.03250133,0.0
253,'(7, 26)',0.0,6332.26157593,1.0
254,'(7, 27)',0.0,3126.889451,1.0
255,'(7, 28)',0.0,2872.78788539,1.0
256,'(7, 29)',0.0,2141.46723027,0.0
257,'(7, 30)',0.0,1642.78852799,0.0
258,'(7, 31)',0.0,1902.35724182,0.0
259,'(7, 32)',0.0,0.0,0.0
260,'(7, 33)',0.0,0.0,0.0
261,'(7, 34)',0.0,5323.71023551,0.0
262,'(7, 35)',0.0,0.0,0.0
263,'(7, 36)',0.0,4787.31526795,0.0
264,'(7, 37)',0.0,0.0,0.0
265,'(7, 38)',0.0,9819.83094725,1.0
266,'(8, 1)',0.0,30506.4188605,88.0
267,'(8, 2)',0.0,37322.49120909999,112.0
268,'(8, 3)',0.0,4985.65564096,1.0
269,'(8, 4)',0.0,3507.66426911,2.0
270,'(8, 5)',0.0,4047.14796156,0.0
271,'(8, 6)',0.0,11002.6224622,6.0
272,'(8, 7)',0.0,7956.48953603,11.0
273,'(8, 8)',0.0,27897.5455579,71.0
274,'(8, 9)',0.0,23000.728002900003,39.0
275,'(8, 10)',0.0,23624.620774900002,41.0
276,'(8, 11)',0.0,16643.3282224,30.0
277,'(8, 12)',0.0,29343.405896900003,38.0
278,'(8, 13)',1721.51435398,21650.117906599997,42.0
279,'(8, 14)',2419.83231108,2398.63908831,0.0
280,'(8, 15)',2565.80337969,11672.651638299998,16.0
281,'(8, 16)',426.456488322,5256.65703481,3.0
282,'(8, 17)',0.0,949.363352355,0.0
